sample_record_id,pred_peak_value
48924,2.221367120742798
48925,2.3634192943573
48926,2.108564615249634
48927,2.185980796813965
48928,2.1994898319244385
48929,2.3525853157043457
48930,2.0795364379882812
48931,2.1493828296661377
48932,2.1109366416931152
48933,2.249765634536743
48934,1.998589277267456
48935,2.0640969276428223
48936,1.458886981010437
48937,1.5994632244110107
48938,1.3466119766235352
48939,1.4742772579193115
48940,1.5384149551391602
48941,1.6884167194366455
48942,1.4178109169006348
48943,1.5045139789581299
48944,1.9171817302703857
48945,2.064789056777954
48946,1.82186758518219
48947,1.9016423225402832
48948,2.0684444904327393
48949,2.200307846069336
48950,1.9554800987243652
48951,2.0275230407714844
48952,2.155224561691284
48953,2.2912755012512207
48954,2.044227123260498
48955,2.104372024536133
48956,2.0205347537994385
48957,2.1530532836914062
48958,1.9034558534622192
48959,1.9814989566802979
48960,2.233219623565674
48961,2.3681271076202393
48962,2.117865800857544
48963,2.1848747730255127
48964,2.0904700756073
48965,2.2291452884674072
48966,1.9824604988098145
48967,2.067117691040039
48968,2.240255117416382
48969,2.3836076259613037
48970,2.1154580116271973
48971,2.190042734146118
48972,1.963982343673706
48973,2.113873243331909
48974,1.846440076828003
48975,1.9335713386535645
48976,2.3254082202911377
48977,2.4576971530914307
48978,2.2175207138061523
48979,2.285592555999756
48980,2.3375391960144043
48981,2.4651949405670166
48982,2.2263967990875244
48983,2.2865326404571533
48984,2.3385238647460938
48985,2.477198839187622
48986,2.2252447605133057
48987,2.2824854850769043
48988,2.2082712650299072
48989,2.3341877460479736
48990,2.101349115371704
48991,2.1724228858947754
48992,2.421438217163086
48993,2.5524890422821045
48994,2.3063042163848877
48995,2.359326124191284
48996,2.0746002197265625
48997,2.214069128036499
48998,1.9650940895080566
48999,2.034727096557617
49000,1.8296964168548584
49001,1.9561820030212402
49002,1.7322397232055664
49003,1.8077349662780762
49004,1.7939242124557495
49005,1.9465444087982178
49006,1.6570199728012085
49007,1.775805950164795
49008,2.143101692199707
49009,2.3077714443206787
49010,2.013890266418457
49011,2.066035270690918
49012,2.412585496902466
49013,2.5430891513824463
49014,2.3015758991241455
49015,2.349468231201172
49016,2.385744333267212
49017,2.503981590270996
49018,2.271378755569458
49019,2.3198022842407227
49020,2.2943947315216064
49021,2.4235122203826904
49022,2.1836040019989014
49023,2.2383530139923096
49024,2.2642557621002197
49025,2.3882558345794678
49026,2.149402141571045
49027,2.208954095840454
49028,2.3403868675231934
49029,2.4725027084350586
49030,2.2335691452026367
49031,2.2902910709381104
49032,2.035586357116699
49033,2.17354416847229
49034,1.9138712882995605
49035,1.9770472049713135
49036,2.150604486465454
49037,2.28330397605896
49038,2.0379652976989746
49039,2.0945842266082764
49040,2.1332502365112305
49041,2.2604172229766846
49042,2.0232579708099365
49043,2.0826210975646973
49044,2.4126217365264893
49045,2.5270369052886963
49046,2.311569929122925
49047,2.364997148513794
49048,2.385723829269409
49049,2.502695322036743
49050,2.2771174907684326
49051,2.333045721054077
49052,2.364842653274536
49053,2.4998667240142822
49054,2.24544620513916
49055,2.30059552192688
49056,2.3709092140197754
49057,2.50732421875
49058,2.2548062801361084
49059,2.287038803100586
49060,2.466381788253784
49061,2.602144241333008
49062,2.3481240272521973
49063,2.362222909927368
49064,2.4663097858428955
49065,2.5979435443878174
49066,2.3514764308929443
49067,2.3759701251983643
49068,2.501574754714966
49069,2.6229231357574463
49070,2.3941662311553955
49071,2.4132373332977295
49072,2.272547483444214
49073,2.4237637519836426
49074,2.146899938583374
49075,2.1696314811706543
49076,2.4633214473724365
49077,2.595860242843628
49078,2.345914125442505
49079,2.386235237121582
49080,2.485212564468384
49081,2.6115667819976807
49082,2.382441282272339
49083,2.3835043907165527
49084,2.43727445602417
49085,2.5860073566436768
49086,2.317730188369751
49087,2.3494670391082764
49088,2.4581425189971924
49089,2.5797929763793945
49090,2.338808536529541
49091,2.3763928413391113
49092,2.530297040939331
49093,2.6655359268188477
49094,2.4082558155059814
49095,2.4373109340667725
49096,2.5242416858673096
49097,2.6518466472625732
49098,2.40295672416687
49099,2.4295260906219482
49100,2.369419574737549
49101,2.5001561641693115
49102,2.2562038898468018
49103,2.3138210773468018
49104,2.5554163455963135
49105,2.686845541000366
49106,2.4394023418426514
49107,2.474233865737915
49108,2.342707872390747
49109,2.4767329692840576
49110,2.228978395462036
49111,2.2800824642181396
49112,1.7235169410705566
49113,1.8783279657363892
49114,1.6212360858917236
49115,1.7211557626724243
49116,2.19389271736145
49117,2.329352617263794
49118,2.081061601638794
49119,2.1506872177124023
49120,2.4469683170318604
49121,2.5551936626434326
49122,2.365734815597534
49123,2.38596248626709
49124,2.2661736011505127
49125,2.4013187885284424
49126,2.1383278369903564
49127,2.1705124378204346
49128,2.4008572101593018
49129,2.541308879852295
49130,2.271498918533325
49131,2.272130250930786
49132,2.3294107913970947
49133,2.486895799636841
49134,2.2058401107788086
49135,2.213143825531006
49136,2.2988288402557373
49137,2.437213182449341
49138,2.1731557846069336
49139,2.209538698196411
49140,2.216200113296509
49141,2.3559911251068115
49142,2.079821825027466
49143,2.1195757389068604
49144,0.6951168775558472
49145,0.7601723670959473
49146,0.6337346434593201
49147,0.694747805595398
49148,2.3813395500183105
49149,2.5309219360351562
49150,2.264354705810547
49151,2.303649663925171
49152,2.2320899963378906
49153,2.356602907180786
49154,2.1215097904205322
49155,2.1775190830230713
49156,2.4060633182525635
49157,2.5357186794281006
49158,2.2871310710906982
49159,2.3255512714385986
49160,2.107100248336792
49161,2.2718453407287598
49162,1.9711583852767944
49163,2.048860788345337
49164,2.3360788822174072
49165,2.479405164718628
49166,2.217949151992798
49167,2.27411150932312
49168,2.5223917961120605
49169,2.660355806350708
49170,2.407195568084717
49171,2.4631898403167725
49172,2.380302667617798
49173,2.4989805221557617
49174,2.2672579288482666
49175,2.323596239089966
49176,1.7493793964385986
49177,1.8890838623046875
49178,1.6493983268737793
49179,1.7318382263183594
